time,obs0_x,obs0_y,obs0_z,obs1_x,obs1_y,obs1_z,x,y,z,theta,psi,left,right
50,22.43124244682,46.9604948862033,-63.5881292774275,65.9567902810049,73.1410645845102,-76.0113916784619,53.6537703110556,65.8288881149479,-73.3623044138426,0.290202598408813,1.65058310183053,0,0
50.1,22.4114985005327,47.0229689484298,-63.6010702296827,66.0139556498222,73.1285678275802,-76.0191562498148,53.638705495704,66.0311799716872,-73.4242058713427,0.269559329041743,1.64482037072829,0,0
50.2,22.39166182176,47.0854435185425,-63.6140111819379,66.0711257350205,73.1160309791997,-76.0269208211678,53.6247107039671,66.2332734528659,-73.4814659175786,0.249379803866303,1.63762019180986,0,1
50.3,22.3717323946086,47.1479184822558,-63.6269521341931,66.1283005102849,73.1034540310064,-76.0346853925207,53.6120639891813,66.435002065847,-73.5342644953142,0.230187158900086,1.62925024033499,0,1
50.4,22.3517102033143,47.2103937252569,-63.6398930864483,66.1854799492937,73.0908369746547,-76.0424499638737,53.6009669483794,66.6369355375603,-73.5828922909583,0.211029750348379,1.62050583038166,0,1
50.5,22.3315952322416,47.2728691332057,-63.6528340387035,66.2426640257173,73.0781798018153,-76.0502145352267,53.5915198034102,66.8404133324149,-73.6278078640679,0.193204992175649,1.6107384960018,0,1
50.6,22.3113874658838,47.3353445917351,-63.6657749909586,66.2998527132188,73.0654825041758,-76.0579791065796,53.5840426248687,67.0430207347366,-73.6687295362875,0.17568345645474,1.60148465500844,0,0
50.7,22.2910868888637,47.3978199864513,-63.6787159432138,66.3570459854538,73.0527450734403,-76.0657436779326,53.5786644414627,67.2441514759614,-73.7057777122468,0.160629989970911,1.58910318649009,0,1
50.8,22.2706934859324,47.4602952029334,-63.691656895469,66.4142438160707,73.0399675013292,-76.0735082492856,53.5754583071014,67.4446120720963,-73.7394350333929,0.146144947335594,1.57889013014483,0,0
50.9,22.2502072419706,47.522770126734,-63.7045978477242,66.4714461787102,73.02714977958,-76.0812728206385,53.5744948058979,67.6458972320444,-73.7702409947378,0.13283827135366,1.56777589372177,0,0
51,22.2296281419878,47.5852446433793,-63.7175387999794,66.5286530470058,73.0142918999464,-76.0890373919915,53.5757951585478,67.8479273264534,-73.7983962389493,0.121164666232451,1.55502950261695,0,1
51.1,22.2089561711226,47.6477186383689,-63.7304797522346,66.5858643945836,73.0013938541989,-76.0968019633445,53.5794765769583,68.0500868436401,-73.8240756866658,0.110407266756647,1.5440953958294,0,0
51.2,22.1881913146429,47.7101919971764,-63.7434207044898,66.6430801950621,72.9884556341244,-76.1045665346974,53.5855255495203,68.2526650617677,-73.847597428068,0.101598142675883,1.53059348897469,0,1
51.3,22.1673335579456,47.7726646052492,-63.7563616567449,66.7003004220526,72.9754772315267,-76.1123311060504,53.5939910764584,68.4548250979679,-73.8691612808362,0.093643234143446,1.52008371364125,0,0
51.4,22.1463828865568,47.8351363480088,-63.7693026090001,66.7575250491592,72.962458638226,-76.1200956774034,53.6049831931692,68.6587071736714,-73.8892936158003,0.087711464226644,1.50688400353762,0,1
51.5,22.1253392861321,47.8976071108509,-63.7822435612553,66.8147540499783,72.9493998460593,-76.1278602487563,53.6184546077489,68.8636173577816,-73.908156044908,0.082520941343379,1.49471883843594,0,1
51.6,22.104202742456,47.9600767791454,-63.7951845135105,66.8719873980992,72.9363008468801,-76.1356248201093,53.6344838892038,69.0692986741715,-73.9260074051357,0.079205645967334,1.48346349062609,0,0
51.7,22.0829732414426,48.022545238237,-63.8081254657657,66.9292250671038,72.9231616325586,-76.1433893914623,53.6531470555505,69.2772666376981,-73.9433505783649,0.078912726487624,1.46997340634757,0,1
51.8,22.0616507691353,48.0850123734446,-63.8210664180209,66.9864670305666,72.9099821949816,-76.1511539628152,53.6743139109881,69.4856858696135,-73.9604159029907,0.078751268687771,1.45908839102436,0,0
51.9,22.0402353117066,48.1474780700621,-63.8340073702761,67.0437132620551,72.8967625260526,-76.1589185341682,53.6980946760375,69.6953450968625,-73.9775894237902,0.081100368893532,1.44696597281289,0,1
52,22.0187268554588,48.2099422133582,-63.8469483225313,67.1009637351291,72.8835026176916,-76.1666831055211,53.724311183236,69.9051338143863,-73.9951590412059,0.085137474218612,1.43508053652835,0,1
52.1,21.9971253868235,48.2724046885767,-63.8598892747865,67.1582184233412,72.8702024618356,-76.1744476768741,53.7530636975845,70.115417682538,-74.0134876804387,0.089890243277131,1.42355862543281,0,0
