time,x,y,z,theta,psi,left,right
9.5,15.3046564549861,10.0450964303476,-52.9350176882524,-0.06366833428607,0.100441301283708,1,0
9.6,15.4933677998968,10.0658231966314,-52.9232995126456,-0.066088276888729,0.090361445507485,1,0
9.7,15.6795421703618,10.0845909069561,-52.91121805002,-0.064138076533337,0.081251821011383,1,0
9.8,15.8616581682968,10.1013102678152,-52.8994875179583,-0.059181259231053,0.067752473471559,1,0
9.9,16.0395777700416,10.1156669829947,-52.8888028142204,-0.049128304458544,0.053283629850437,1,0
10,16.2150798189882,10.1275824618861,-52.8797689151101,-0.036003387062923,0.03957652659049,1,0
10.1,16.3880309539191,10.1370364445275,-52.8728846954305,-0.021097148474491,0.026122959570407,1,0
10.2,16.5583079420732,10.1441128689699,-52.8685637958823,-0.002625314153123,0.011199459687309,1,0
10.3,16.728380326721,10.148854874359,-52.8672263095455,0.017312729841566,-0.003301395518132,1,0
10.4,16.8998223758097,10.1511912062685,-52.8691546380696,0.037756278374577,-0.016106575181403,1,0
10.5,17.0740106317064,10.1512747753661,-52.8746275803065,0.057810357085783,-0.026351274480344,1,0
10.6,17.251145421224,10.149352626228,-52.8837472461927,0.078059311661435,-0.037752133281848,1,0
10.7,17.4350935103005,10.1453498847235,-52.8969126530677,0.096938481750134,-0.04580002269765,0,0
10.8,17.624543841203,10.139580534163,-52.9140681996342,0.114636971017149,-0.051296298364773,1,0
10.9,17.8180769945906,10.1323521909195,-52.9351362859633,0.13169861249223,-0.056031609658739,1,0
11,18.0156412591604,10.12387172878,-52.9600834104998,0.146948676259756,-0.058992467746218,1,0
11.1,18.2164879589027,10.1144888254911,-52.9886546313858,0.161556505118267,-0.060724170561351,1,0
11.2,18.4203992443782,10.1045226607997,-53.0207676774742,0.176160307236707,-0.062015120440447,0,0
11.3,18.6257083930576,10.0942703371358,-53.0561002721796,0.189407138939172,-0.061306418762987,1,0
11.4,18.8324347933166,10.0839882110004,-53.0946134715991,0.203282826090552,-0.060268684600305,1,0
11.5,19.0397510341565,10.073871081047,-53.1361764985487,0.216459372696681,-0.058043028864202,1,0
11.6,19.2472744325166,10.0641081812315,-53.1806261588954,0.228144574702475,-0.054653928758283,1,0
11.7,19.456126851728,10.0548548426771,-53.2280705623416,0.24045802159453,-0.051246876345667,1,0
11.8,19.6650343908802,10.0463331878626,-53.2781894386411,0.252103531931259,-0.047227524927932,0,0
11.9,19.8732286670464,10.0387091379344,-53.3307259063647,0.263384632660225,-0.041418053043375,1,0
12,20.0810475332033,10.0320808900633,-53.3857260652789,0.274228301563321,-0.03506823964255,1,0
12.1,20.2888872576051,10.0265828426988,-53.4432369256814,0.285417059478145,-0.028961849617048,1,0
12.2,20.4971140482629,10.0223210176103,-53.5033524945949,0.296140661756074,-0.023024228358174,0,0
12.3,20.7040165630157,10.0194209328156,-53.5654424354745,0.305391184607,-0.01446917376023,1,0
12.4,20.9099784149414,10.0180133219355,-53.6294812906647,0.315148725910231,-0.007236449386426,0,0
12.5,21.1141026534274,10.0182110152329,-53.6950819263946,0.323508602383115,0.002516171399057,1,0
12.6,21.3165265489918,10.0200720827467,-53.7621298607437,0.330724422785334,0.012343399655537,1,0
12.7,21.5179579471225,10.0237240376436,-53.8305756136829,0.337023681139539,0.021679358657782,0,0
12.8,21.7181199277345,10.0292741749485,-53.9000407503679,0.341452551421767,0.033929576128285,1,0
12.9,21.916898764793,10.0368178360649,-53.9702276092712,0.344823271687977,0.045755583835086,1,0
13,22.1148288527617,10.0465149830538,-54.0410226247456,0.347592356096462,0.057172887319281,0,0
13.1,22.3107995664609,10.0583802193217,-54.1117283615034,0.347164477208083,0.071831999406823,1,0
13.2,22.5049564508581,10.0725194819192,-54.1820704856713,0.346877937565727,0.084923587947725,0,0
13.3,22.6968912433122,10.0889821986851,-54.2516719884304,0.345077059581089,0.099724065464364,1,0
13.4,22.8867328528968,10.1077726464804,-54.320390025155,0.342827419998276,0.113918897206215,1,0
13.5,23.0737124600604,10.1288348705774,-54.3877264993259,0.337793388211932,0.129474275612596,1,0
13.6,23.2594011583634,10.1523749686746,-54.4538321653231,0.330471706564509,0.145434401752142,1,0
13.7,23.4446468319989,10.1786064167068,-54.5185096801914,0.319685707751918,0.162189462876872,0,0
13.8,23.6314295393965,10.2080215683578,-54.581786269084,0.306200345802857,0.178954196322273,0,0
13.9,23.8207686913738,10.2408959763062,-54.6435486869046,0.294600719359234,0.194728419610648,0,0
14,24.0118786645373,10.2770876845698,-54.703703569733,0.286005453833798,0.208907143432192,0,0
14.1,24.2027661132288,10.3160062122693,-54.7620609592233,0.279501690106715,0.22138477245646,0,0
14.2,24.3917576103632,10.35698421352,-54.8185576817843,0.275341271293406,0.233397259832342,0,0
14.3,24.5787042060412,10.3997710890205,-54.8736556798023,0.274171900965963,0.244905386730233,0,0
14.4,24.7634557182935,10.4441386651853,-54.927898502673,0.276196098771687,0.255768460607769,0,0
14.5,24.9430600311712,10.4891463607213,-54.9810172985823,0.2804887022984,0.267113239943383,0,0
14.6,25.1185236988802,10.5349833754338,-55.0337557804105,0.286312071419514,0.280795182242661,0,0
14.7,25.2928561106286,10.5826509605109,-55.0872907270184,0.291605616964509,0.295909200546734,0,0
14.8,25.4658839651165,10.6323552241838,-55.1416521483069,0.296745025567575,0.313210183373298,0,0
14.9,25.6377558336125,10.6844928074091,-55.1968823331194,0.300948466906532,0.332783038567362,0,0
15,25.8094965619186,10.7398223681345,-55.2531882383288,0.302140267552082,0.353638121083359,0,0
15.1,25.9816763067105,10.7989164719097,-55.3102904863643,0.299083714924511,0.374948120663365,0,0
15.2,26.1541907108975,10.8620362808777,-55.3674432943499,0.288331083830643,0.394891043274851,0,0
15.3,26.3274836800688,10.929394377531,-55.4234473463269,0.271731271691316,0.41446483190968,0,0
15.4,26.5001009393828,11.0002239521604,-55.4766926472789,0.253622670077204,0.434152292920405,1,0
15.5,26.6707866336052,11.073950046548,-55.5263431480486,0.234906517633512,0.452510893027852,0,0
15.6,26.8393811223015,11.1504635143379,-55.5722395457697,0.217882608051676,0.472078917129311,1,0
15.7,27.006130219047,11.229834080672,-55.6146172349599,0.201371037510235,0.489550553131407,0,0
15.8,27.171388896507,11.3121452059187,-55.6538949728476,0.189888333932163,0.507595380292979,1,0
15.9,27.3337132054487,11.3964695063936,-55.6903195377197,0.181108391452798,0.52355905216013,0,0
16,27.4936345151034,11.4828627681762,-55.7246968564271,0.175159180044939,0.539468076228358,0,0
16.1,27.6516186072879,11.5714802082052,-55.757624659304,0.170313753277473,0.555230341829053,0,0
16.2,27.8087260319743,11.6628886434361,-55.7895791191555,0.16583730359522,0.570381632141621,0,0
16.3,27.9657138773588,11.7574889316795,-55.8208063895095,0.160112962396273,0.584941754531585,0,0
16.4,28.1212795987769,11.854352193385,-55.8508331606057,0.151109628617505,0.599889654263059,0,0
16.5,28.2761024462558,11.9539791301285,-55.8794007198342,0.141685453259665,0.616053096645979,0,0
16.6,28.4304566698817,12.0567617796582,-55.9064234348413,0.132963080351621,0.630669666239884,0,0
16.7,28.5842720573894,12.1626219553273,-55.9318809233871,0.12398479782799,0.646337103670737,0,0
16.8,28.7371969781663,12.2714093987275,-55.9557052425352,0.115583971170156,0.660449117988419,0,0
16.9,28.8898938072373,12.3835378434631,-55.9780612217171,0.107948143330503,0.67390989716301,0,0
17,29.0420188077685,12.4985954544649,-55.9989754972387,0.101183616579453,0.687193159875543,0,0
17.1,29.1929886306693,12.6161037673673,-56.0185439865591,0.09583085062708,0.700058898818633,0,0
17.2,29.3427160160769,12.7359301419267,-56.0369588528143,0.090955264234253,0.712144341356361,0,0
17.3,29.4914189294859,12.8581398937735,-56.0543650590688,0.087162689480329,0.723969416540891,0,0
17.4,29.6385969666082,12.9822097482631,-56.0709332666912,0.085102744557456,0.734683275918259,0,0
17.5,29.7844494665592,13.1081743542694,-56.0869494345479,0.084948817833203,0.74435442887124,0,0
17.6,29.9286827853873,13.2355008761771,-56.1027065202185,0.086059610220578,0.753446221902978,0,0
17.7,30.0722976427242,13.3649767893338,-56.1185821174874,0.08815463070278,0.76003910059888,0,0
17.8,30.2149912054698,13.4958567046176,-56.1347862764205,0.092906558278426,0.7660988394141,0,0
17.9,30.3563713635321,13.6274784769135,-56.151672414027,0.099943195145683,0.770780779053967,0,0
18,30.4962473264128,13.7593665668085,-56.1696407353969,0.108806845216539,0.773653026521583,0,0
18.1,30.635293503733,13.8917435920167,-56.1891067774206,0.118822852069684,0.775788521030454,0,0
18.2,30.7735638543327,14.024365939661,-56.2103204850099,0.129822353782199,0.777902364760085,0,0
18.3,30.9105392548452,14.1565537808486,-56.2333260706521,0.140385742388853,0.779513448656402,0,0
18.4,31.0479644957872,14.2899868688191,-56.2585475800601,0.152528749127634,0.780376364394018,0,0
18.5,31.1852184665071,14.4238206992612,-56.2860148681659,0.164821329611776,0.780997389973329,0,0
